"Site","Year","SampleRound","Doy","Date","SFBloomStatus","TransectType","GenusSpecies","Abundance","SpParasitismRate","SpInfectedIndividuals","SFspecialist","d","Lecty","degree","r.degree","max.days","min.days","mean.days","median.days","mean.abund","median.abund","PlantPol","NestLoc","Excavate","Sociality","MeanITD","SFBloom","TotalAbundance","Richness","SiteParasitismRate","SiteInfectedIndividuals","County","State","Country","Lat","Long","SiteType","Datum","AdjSF","AdjHR","AltSiteName","SF2019_350","SF2019_1000","SF2019_2500","SF2018_350","SF2018_1000","SF2018_2500","SF2017_350","SF2017_1000","SF2017_2500","Nat350","Nat1000","Nat2500","HR350","HR1000","HR2500","SunflowerCurrent350","SunflowerCurrent1000","SunflowerCurrent2500","SunflowerLastYr350","SunflowerLastYr1000","SunflowerLastYr2500","FloralAbundance","FloralRichness","FloralDiv","HBParasitismRate"
"Barrios","2018","1",214,2018-08-02,"peak","SF","Melissodes communis alopex",1,1,1,"no",0.44500037,"polylectic",1,1,1,1,1,1,2,2,"Pollinator","below","ex","solitary",2.79375,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Melissodes robustior",1,1,1,"yes",0.40495536,"oligolectic",13,37.5,67,1,25,20,7.28,2,"Pollinator","below","ex","solitary",2.76281216,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Diadasia enavata",5,NA,0,"yes",0.18920676,"oligolectic",16,34,64,1,14.2222222,9,2.36363636,2,"Pollinator","below","ex","solitary",2.81512195,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Halictus tripartitus",12,0.636363636363636,7,"no",0.14721393,"polylectic",89,113.045455,129,86,107.8,107.5,22.4444444,11,"Pollinator","below","ex","social",1.2915664,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Halictus ligatus",3,0,0,"no",0.21310324,"polylectic",52,80.5714286,112,48,98.3,106.5,9.37714286,5,"Pollinator","below","ex","social",1.53170732,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Lasioglossum incompletum",44,0.421052631578947,8,"no",0.1100625,"polylectic",101,133.033333,128,86,107.9,109.5,19.186722,14,"Pollinator","below","ex","social",0.94146341,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Svastra obliqua expurgata",4,1,2,"yes",0.20444741,"oligolectic",11,11.5,55,1,22.8888889,16,1.85714286,1,"Pollinator","below","ex","solitary",3.33681766,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"Barrios","2018","1",214,2018-08-02,"peak","SF","Melissodes agilis",68,0.736842105263158,14,"yes",0.4466257,"oligolectic",20,21.3333333,74,1,40.7777778,49,12.8717949,2,"Pollinator","below","ex","solitary",2.6000002,1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF","Lasioglossum incompletum",10,0.4,2,"no",0.1100625,"polylectic",101,133.033333,128,86,107.9,109.5,19.186722,14,"Pollinator","below","ex","social",0.94146341,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF","Melissodes robustior",2,1,2,"yes",0.40495536,"oligolectic",13,37.5,67,1,25,20,7.28,2,"Pollinator","below","ex","solitary",2.76281216,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
