"Site","Year","SampleRound","Doy","Date","SFBloomStatus","TransectType","SFBloom","TotalAbundance","Richness","SiteParasitismRate","SiteInfectedIndividuals","County","State","Country","Lat","Long","SiteType","Datum","AdjSF","AdjHR","AltSiteName","SF2019_350","SF2019_1000","SF2019_2500","SF2018_350","SF2018_1000","SF2018_2500","SF2017_350","SF2017_1000","SF2017_2500","Nat350","Nat1000","Nat2500","HR350","HR1000","HR2500","SunflowerCurrent350","SunflowerCurrent1000","SunflowerCurrent2500","SunflowerLastYr350","SunflowerLastYr1000","SunflowerLastYr2500","FloralAbundance","FloralRichness","FloralDiv","HBParasitismRate"
"Barrios","2018","1",214,2018-08-02,"peak","SF",1,138,8,0.6,33,"Yolo","CA","USA",38.75364,-121.83358,"WM + SF","WGS84","SF","no HR","WM + SF4",140018.72377922,1443525.33980928,9401783.66940496,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,16748.3572714336,93861.9906297126,7473282.65292656,7.86607374118887e-07,10.2660676349438,1017.82263070723,343736.975249497,2152111.95434837,10861089.8223849,88426.2415846387,1609360.40438259,9822591.09189991,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF",1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF",1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"Butler","2019","1",162,2019-06-11,"no adj SF","HR",0,13,2,0.833333333333333,10,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,274,9,1.94354341256156,NA
"Butler","2019","2",167,2019-06-16,"no adj SF","HR",0,36,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,319,6,1.60311051193229,0.833333333333333
"Butler","2019","3",176,2019-06-25,"no adj SF","HR",0,30,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,159,9,1.89032106852218,NA
"Butler","2019","4",189,2019-07-08,"no adj SF","HR",0,40,5,0.846153846153846,22,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,404,8,0.762645985001065,0.666666666666667
"Butler","2019","5",201,2019-07-20,"no adj SF","HR",0,19,5,0.833333333333333,15,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,224,4,0.929702985977232,NA
"Butler","2019","6",211,2019-07-30,"no adj SF","HR",0,32,4,0.666666666666667,10,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,272,5,0.810827131160193,NA
"CR101","2019","1",155,2019-06-04,"before bloom","HR",0,4,2,0.25,1,"Yolo","CA","USA",38.7672762,-121.748527,"HR + SF","WGS84","SF","HR","HR + SF3",592997.703288506,2611449.27904428,12645071.8225969,242003.303253657,2495721.87975713,15850138.3699811,323447.031018768,3200330.02571835,13486273.3400273,0.00243527054984861,22587.2458005238,2924600.30588408,595.243077109794,767.964524205736,1071.61529103807,592997.703288506,2611449.27904428,12645071.8225969,242003.303253657,2495721.87975713,15850138.3699811,30,3,0.639031859650177,NA
